Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,15,9,0.625,15->11->7->3->2->1->5->6->10->9,0.235294,1,Matrix
DFS Recursive,0,13,9,0.125,13->9,0.254902,1,Adjacency List
DFS Recursive,0,9,13,0.5,9->5->1->2->6->10->14->13,0.254902,1,Adjacency List
DFS Recursive,0,13,9,0.125,13->9,0.22549,1,Matrix
DFS Recursive,0,9,13,1,9->5->1->2->3->4->8->7->6->10->11->12->16->15->14->13,0.196078,1,Matrix
DFS Recursive,0,3,10,0.375,3->2->1->5->6->10,0.22549,1,Adjacency List
DFS Recursive,0,10,3,0.75,10->6->2->1->5->9->13->14->15->11->7->3,0.254902,1,Adjacency List
DFS Recursive,0,3,10,0.6875,3->2->1->5->6->7->8->4->12->11->10,0.196078,1,Matrix
DFS Recursive,0,10,3,0.75,10->6->2->1->5->9->13->14->15->11->7->3,0.254902,1,Matrix
DFS Recursive,0,16,10,0.625,16->15->14->13->9->5->1->2->6->10,0.22549,1,Adjacency List
DFS Recursive,0,10,16,1,10->6->2->1->5->9->13->14->15->11->7->3->4->8->12->16,0.254902,1,Adjacency List
DFS Recursive,0,16,10,0.75,16->12->8->4->3->2->1->5->6->7->11->10,0.215686,1,Matrix
DFS Recursive,0.998054,10,16,1,10->6->2->1->5->9->13->14->15->11->7->3->4->8->12->16,0.254902,1,Matrix
DFS Recursive,0,15,6,0.5,15->14->13->9->5->1->2->6,0.235294,1,Adjacency List
DFS Recursive,0,6,15,0.5625,6->2->1->5->9->10->14->13->15,0.235294,1,Adjacency List
DFS Recursive,0,15,6,0.5,15->11->7->3->2->1->5->6,0.235294,1,Matrix
DFS Recursive,0,6,15,0.875,6->2->1->5->9->10->11->7->3->4->8->12->16->15,0.235294,1,Matrix
DFS Recursive,0,9,11,0.625,9->5->1->2->6->10->14->13->15->11,0.245098,1,Adjacency List
DFS Recursive,0,11,9,0.5625,11->7->3->2->1->5->6->10->9,0.22549,1,Adjacency List
DFS Recursive,0,9,11,0.6875,9->5->1->2->3->4->8->7->6->10->11,0.205882,1,Matrix
DFS Recursive,0,11,9,0.5625,11->7->3->2->1->5->6->10->9,0.22549,1,Matrix
DFS Recursive,0,9,5,0.125,9->5,0.235294,1,Adjacency List
DFS Recursive,0,5,9,0.375,5->1->2->6->10->9,0.245098,1,Adjacency List
DFS Recursive,0,9,5,0.125,9->5,0.205882,1,Matrix
DFS Recursive,0,5,9,0.625,5->1->2->3->4->8->7->6->10->9,0.186275,1,Matrix
DFS Recursive,0,15,6,0.5,15->14->13->9->5->1->2->6,0.235294,1,Adjacency List
DFS Recursive,0,6,15,0.5625,6->2->1->5->9->10->14->13->15,0.235294,1,Adjacency List
DFS Recursive,0,15,6,0.5,15->11->7->3->2->1->5->6,0.235294,1,Matrix
DFS Recursive,0,6,15,0.875,6->2->1->5->9->10->11->7->3->4->8->12->16->15,0.235294,1,Matrix
DFS Recursive,0,1,16,1,1->2->6->5->9->10->14->13->15->11->7->3->4->8->12->16,0.235294,1,Adjacency List
DFS Recursive,0,16,1,0.4375,16->15->14->13->9->5->1,0.22549,1,Adjacency List
DFS Recursive,0,1,16,0.8125,1->2->3->4->8->7->6->5->9->10->11->12->16,0.186275,1,Matrix
DFS Recursive,0,16,1,0.4375,16->12->8->4->3->2->1,0.215686,1,Matrix
DFS Recursive,0,3,6,0.3125,3->2->1->5->6,0.22549,1,Adjacency List
