Search Type,Time,Start,End,Number of Nodes,Path,Distance,Total Nodes Visited
DFS Recursive,0,1,10,6,1->2->6->5->9->10,24,16,Adjacency List
DFS Recursive,0,10,1,4,10->6->2->1,25,16,Adjacency List
DFS Recursive,0,1,10,10,1->2->3->4->8->7->6->5->9->10,20,16,Matrix
DFS Recursive,0,10,1,4,10->6->2->1,22,16,Matrix
DFS Recursive,0,14,10,8,14->13->9->5->1->2->6->10,24,16,Adjacency List
DFS Recursive,0,10,14,8,10->6->2->1->5->9->13->14,26,16,Adjacency List
DFS Recursive,0,14,10,2,14->10,22,16,Matrix
DFS Recursive,0,10,14,8,10->6->2->1->5->9->13->14,23,16,Matrix
DFS Recursive,0,2,1,2,2->1,24,16,Adjacency List
DFS Recursive,0,1,2,2,1->2,24,16,Adjacency List
DFS Recursive,0,2,1,2,2->1,18,16,Matrix
DFS Recursive,0,1,2,2,1->2,20,16,Matrix
DFS Recursive,0,12,4,3,12->8->4,22,16,Adjacency List
DFS Recursive,0,4,12,15,4->3->2->1->5->6->10->9->13->14->15->11->7->8->12,21,16,Adjacency List
DFS Recursive,0,12,4,3,12->8->4,22,16,Matrix
DFS Recursive,0,4,12,9,4->3->2->1->5->6->7->8->12,19,16,Matrix
DFS Recursive,0,2,8,14,2->1->5->6->10->9->13->14->15->11->7->3->4->8,23,16,Adjacency List
DFS Recursive,0,8,2,4,8->4->3->2,22,16,Adjacency List
DFS Recursive,0,2,8,8,2->1->5->6->7->3->4->8,21,16,Matrix
DFS Recursive,0,8,2,4,8->4->3->2,20,16,Matrix
DFS Recursive,0,3,12,15,3->2->1->5->6->10->9->13->14->15->11->7->8->4->12,22,16,Adjacency List
DFS Recursive,0,12,3,4,12->8->4->3,22,16,Adjacency List
DFS Recursive,0,3,12,9,3->2->1->5->6->7->8->4->12,20,16,Matrix
DFS Recursive,0,12,3,4,12->8->4->3,21,16,Matrix
DFS Recursive,0,9,7,11,9->5->1->2->6->10->14->13->15->11->7,25,16,Adjacency List
DFS Recursive,0,7,9,8,7->3->2->1->5->6->10->9,23,16,Adjacency List
DFS Recursive,0,9,7,8,9->5->1->2->3->4->8->7,21,16,Matrix
DFS Recursive,0,7,9,8,7->3->2->1->5->6->10->9,21,16,Matrix
DFS Recursive,0,13,12,15,13->9->5->1->2->6->10->14->15->11->7->3->4->8->12,26,16,Adjacency List
DFS Recursive,0,12,13,11,12->8->4->3->2->1->5->6->10->9->13,23,16,Adjacency List
DFS Recursive,0,13,12,13,13->9->5->1->2->3->4->8->7->6->10->11->12,21,16,Matrix
DFS Recursive,0,12,13,13,12->8->4->3->2->1->5->6->7->11->10->9->13,21,16,Matrix
DFS Recursive,0,9,6,5,9->5->1->2->6,24,16,Adjacency List
DFS Recursive,0,6,9,5,6->2->1->5->9,24,16,Adjacency List
DFS Recursive,0,9,6,9,9->5->1->2->3->4->8->7->6,21,16,Matrix
DFS Recursive,0,6,9,5,6->2->1->5->9,22,16,Matrix
DFS Recursive,0,12,4,3,12->8->4,22,16,Adjacency List
DFS Recursive,0,4,12,15,4->3->2->1->5->6->10->9->13->14->15->11->7->8->12,21,16,Adjacency List
DFS Recursive,0,12,4,3,12->8->4,22,16,Matrix
DFS Recursive,0,4,12,9,4->3->2->1->5->6->7->8->12,19,16,Matrix
DFS Recursive,0,2,11,10,2->1->5->6->10->9->13->14->15->11,23,16,Adjacency List
DFS Recursive,0,11,2,4,11->7->3->2,24,16,Adjacency List
DFS Recursive,0,2,11,10,2->1->5->6->7->3->4->8->12->11,22,16,Matrix
DFS Recursive,0,11,2,4,11->7->3->2,25,16,Matrix
DFS Recursive,0,7,15,11,7->3->2->1->5->6->10->9->13->14->15,22,16,Adjacency List
DFS Recursive,0,15,7,11,15->14->13->9->5->1->2->6->10->11->7,24,16,Adjacency List
DFS Recursive,0,7,15,11,7->3->2->1->5->6->10->9->13->14->15,22,16,Matrix
DFS Recursive,0,15,7,3,15->11->7,25,16,Matrix
DFS Recursive,0,3,3,1,3,0,1,Adjacency List
DFS Recursive,0,3,3,1,3,0,1,Adjacency List
DFS Recursive,0,3,3,1,3,0,1,Matrix
